brand,model,year,price,engine_cc,insurance_comp,insurance_tp,insurance_unk,trans_manual,trans_auto,mileage_km,owner_number,fuel_petrol,fuel_diesel,fuel_cng,fuel_lpg,fuel_electric,power_bhp,seats,mileage_kmpl,body_suv,body_sedan,body_hatchback,body_muv,body_coupe,body_convertible,body_other,city_delhi,city_mumbai,city_bangalore,city_chennai,city_hyderabad,city_other
Maruti,800 Dx,1985,160000,796,0,1,0,1,0,50000,2,1,0,0,0,0,37,4,16.1,0,0,1,0,0,0,0,0,0,0,0,1,0
Maruti,800 Std Mpfi,1985,150000,796,0,1,0,1,0,8000,1,1,0,0,0,0,37,4,16.1,0,0,1,0,0,0,0,0,0,0,0,1,0
Maruti,800 Std,1986,140000,796,0,1,0,1,0,90000,1,1,0,0,0,0,37,4,16.1,0,0,1,0,0,0,0,0,0,0,0,0,1
Mahindra,Jeep Cj 500 D,1989,300000,2523,0,1,0,1,0,60000,0,0,1,0,0,0,116.3145,6,19.39654,1,0,0,0,0,0,0,0,0,1,0,0,0
Maruti,Gypsy Mg410w Ht,1995,400000,1422.844,0,1,0,1,0,10000,3,1,0,0,0,0,116.3145,8,19.39654,1,0,0,0,0,0,0,0,0,1,0,0,0
Maruti,Gypsy Mg410w St,1995,400000,1422.844,0,1,0,1,0,10000,3,1,0,0,0,0,116.3145,6,19.39654,1,0,0,0,0,0,0,0,0,1,0,0,0
Hindustan,Motors Contessa 1.8 Glx,1997,425000,1799,0,1,0,1,0,90000,2,1,0,0,0,0,116.3145,5,14,0,1,0,0,0,0,0,0,0,0,0,1,0
Maruti,Zen Lx,1997,55000,993,0,1,0,1,0,70000,0,1,0,0,0,0,59.178,5,17.3,0,0,1,0,0,0,0,0,0,1,0,0,0
Maruti,800 Ac Bsiii,1998,32000,796,0,1,0,1,0,90000,1,1,0,0,0,0,37,4,16.1,0,0,1,0,0,0,0,0,0,0,0,0,1
Maruti,Omni 5 Str Std,1998,58000,796,0,1,0,1,0,80000,0,1,0,0,0,0,35,5,14,0,0,0,0,0,0,1,0,0,1,0,0,0
Hyundai,Santro Gls Ii - Euro Ii,1998,45000,1422.844,0,1,0,1,0,120000,3,1,0,0,0,0,116.3145,5,19.39654,0,0,1,0,0,0,0,1,0,0,0,0,0
Hyundai,Santro Le,1999,66000,999,0,0,1,1,0,81700,3,1,0,0,0,0,116.3145,5,19.39654,0,0,1,0,0,0,0,0,0,0,0,0,1
